Variety1,Processing1,Country,TastingGroup
caturra,washed,costa rica,Sour
bourbon,washed,guatemala,Cocoa
catuai,washed,peru,Stone Fruit
bourbon,washed,guatemala,Brown Sugar
bourbon,washed,peru,Body
catuai,honey,brazil,Burnt
bourbon,washed,colombia,Citrus Fruit
bourbon,washed,guatemala,Stone Fruit
colombia,washed,colombia,Citrus Fruit
castillo,washed,colombia,Berry Fruit
pacas,washed,honduras,Citrus Fruit
caturra,washed,panama,Berry Fruit
bourbon,pulped natural,brazil,Brown Sugar
bourbon,washed,guatemala,Stone Fruit
heirloom,washed,ethiopia,Stone Fruit
typica,washed,papua new guinea,Cocoa
pacamara,washed,guatemala,Cocoa
caturra,washed,colombia,Citrus Fruit
caturra,washed,costa rica,Nutty
catuai,honey,brazil,Dried Fruit
bourbon,natural,guatemala,Citrus Fruit
bourbon,pulped natural,brazil,Cocoa
ethiopia heirloom,washed,ethiopia,Stone Fruit
caturra,washed,colombia,Nutty
bourbon,washed,el salvador,Cocoa
bourbon,washed,guatemala,Other Fruit
bourbon,washed,guatemala,Other Fruit
bourbon,washed,burundi,Berry Fruit
typica,washed,peru,Other Fruit
heirloom,washed,ethiopia,Stone Fruit
colombia,washed,colombia,Brown Sugar
bourbon,washed,el salvador,Brown Sugar
caturra,honey,guatemala,Other Fruit
bourbon,washed,rwanda,Citrus Fruit
bourbon,washed,guatemala,Cocoa
heirloom,washed,ethiopia,Berry Fruit
caturra,washed,peru,Brown Sugar
ethiopia heirloom,fully washed,ethiopia,Stone Fruit
bourbon,natural,el salvador,Stone Fruit
caturra,washed,guatemala,Citrus Fruit
heirloom,natural,ethiopia,Berry Fruit
bourbon,washed,rwanda,Stone Fruit
colombia,natural,colombia,Dried Fruit
pacamara,natural,el salvador,Brown Sugar
heirloom,natural,ethiopia,Vanilla
typica,washed,mexico,Sweet
caturra,washed,colombia,Green/Vegetative
bourbon,washed,NA,Other Fruit
bourbon,washed,burundi,Floral
caturra,natural,costa rica,Sweet
caturra,washed,colombia,Brown Sugar
colombia,washed,colombia,Alcohol
castillo,washed,colombia,Dried Fruit
ethiopia heirloom,washed,ethiopia,Other Fruit
typica,washed,colombia,Citrus Fruit
caturra,washed,colombia,Berry Fruit
bourbon,washed,colombia,Brown Sugar
bourbon,washed,guatemala,Brown Spice
caturra,washed,colombia,Other Fruit
bourbon,washed,guatemala,Other Fruit
ethiopia heirloom,washed,ethiopia,Other Fruit
bourbon,washed,burundi,Dried Fruit
bourbon,washed,rwanda,Berry Fruit
catuai,natural,brazil,Cocoa
caturra,pulped natural,colombia,Stone Fruit
castillo,washed,colombia,Other Fruit
bourbon,washed,tanzania,Berry Fruit
bourbon,washed,rwanda,Brown Sugar
typica,washed,papua new guinea,Cereal
caturra,washed,colombia,Brown Sugar
pacas,washed,honduras,Cocoa
bourbon,washed,democratic republic of the congo,Other Fruit
catuai,washed,costa rica,Dried Fruit
bourbon,washed,el salvador,Cocoa
caturra,washed,colombia,Stone Fruit
bourbon,washed,rwanda,Citrus Fruit
heirloom,natural,ethiopia,Floral
castillo,washed,colombia,Stone Fruit
bourbon,washed,guatemala,Cereal
sl28,washed,kenya,Stone Fruit
74110,natural,ethiopia,Berry Fruit
caturra,washed,colombia,Nutty
caturra,washed,colombia,Citrus Fruit
heirloom,washed,ethiopia,Stone Fruit
bourbon,washed,guatemala,Cocoa
caturra,washed,costa rica,Nutty
caturra,washed,guatemala,Dried Fruit
caturra,washed,peru,Stone Fruit
bourbon,washed,guatemala,Cocoa
caturra,washed,colombia,Body
bourbon,washed,rwanda,Stone Fruit
catuai,natural,costa rica,Stone Fruit
bourbon,pulped natural,brazil,Cocoa
colombia,fully washed,colombia,Cocoa
caturra,washed,guatemala,Cocoa
sl28,washed,kenya,Stone Fruit
bourbon,washed,colombia,Berry Fruit
caturra,washed,peru,Other Fruit
pacamara,washed,guatemala,Cocoa
castillo,fully washed,colombia,Brown Sugar
caturra,washed,colombia,Brown Sugar
bourbon,washed,guatemala,Body
catuai,natural,brazil,Sweet
pacas,washed,honduras,Cocoa
bourbon,washed,colombia,Stone Fruit
ethiopia heirloom,washed,ethiopia,Floral
pacas,washed,el salvador,Citrus Fruit
catuai,washed,honduras,Nutty
bourbon,washed,rwanda,Brown Sugar
sl28,washed,kenya,Stone Fruit
bourbon,washed,peru,Vanilla
castillo,washed,colombia,Other Fruit
castillo,washed,colombia,Stone Fruit
caturra,washed,bolivia,Cocoa
caturra,washed,bolivia,Brown Sugar
ethiopia heirloom,washed,ethiopia,Berry Fruit
caturra,honey,colombia,Other Fruit
typica,washed,peru,Brown Sugar
typica,honey,ecuador,Other Fruit
typica,washed,ecuador,Stone Fruit
typica,washed,ecuador,Stone Fruit
ethiopia heirloom,natural,ethiopia,Berry Fruit
bourbon,washed,guatemala,Stone Fruit
bourbon,washed,tanzania,Stone Fruit
catuai,natural,brazil,Cocoa
caturra,washed,colombia,Cocoa
ethiopia landrace,washed,ethiopia,Stone Fruit
ethiopia landrace,washed,ethiopia,Other Fruit
ethiopia landrace,washed,ethiopia,Citrus Fruit
pacas,washed,honduras,Berry Fruit
pacas,washed,honduras,Other Fruit
ethiopia landrace,washed,ethiopia,Body
caturra,washed,bolivia,Cocoa
ethiopia landrace,honey,ethiopia,Floral
colombia,washed,colombia,Citrus Fruit
colombia,washed,colombia,Sour
pacas,washed,honduras,Body
castillo,washed,colombia,Body
caturra,washed,colombia,Brown Sugar
caturra,washed,colombia,Other Fruit
sl28,washed,kenya,Sour
caturra,washed,bolivia,Other Fruit
typica,washed,mexico,Citrus Fruit
geisha,washed,colombia,Black Tea
colombia,washed,colombia,Floral
caturra,washed,colombia,Citrus Fruit
caturra,washed,colombia,Citrus Fruit
colombia,washed,colombia,Citrus Fruit
ethiopia landrace,washed,ethiopia,Body
ethiopia landrace,washed,ethiopia,Other Fruit
caturra,washed,colombia,Cocoa
sl28,washed,kenya,Other Fruit
colombia,washed,colombia,Green/Vegetative
caturra,washed,colombia,Berry Fruit
caturra,washed,ecuador,Sweet
pacas,washed,honduras,Black Tea
pacas,washed,honduras,Berry Fruit
bourbon,washed,colombia,Floral
caturra,washed,colombia,Citrus Fruit
typica,washed,mexico,Dried Fruit
caturra,washed,colombia,Sweet
bourbon,washed,colombia,Berry Fruit
caturra,washed,peru,Floral
sl28,washed,kenya,Other Fruit
catuai,honey,NA,Citrus Fruit
caturra,washed,NA,Berry Fruit
caturra,washed,NA,Citrus Fruit
castillo,natural,colombia,Cocoa
catuai,washed,bolivia,Brown Sugar
caturra,honey,colombia,Brown Sugar
bourbon,washed,guatemala,Stone Fruit
pacas,washed,honduras,Cocoa
caturra,washed,colombia,Cocoa
bourbon,washed,guatemala,Nutty
sl28,washed,kenya,Other Fruit
castillo,washed,colombia,Floral
caturra,washed,guatemala,Dried Fruit
caturra,honey,costa rica,Other Fruit
bourbon,washed,guatemala,Nutty
sl28,washed,kenya,Other Fruit
castillo,washed,colombia,Floral
caturra,washed,guatemala,Dried Fruit
caturra,honey,costa rica,Other Fruit
heirloom,washed,NA,Berry Fruit
caturra,washed,NA,Other Fruit
pacamara,natural,nicaragua,Berry Fruit
heirloom,natural,ethiopia,Black Tea
bourbon,washed,guatemala,Dried Fruit
castillo,washed,peru,Citrus Fruit
heirloom,washed,ethiopia,Citrus Fruit
various,washed,brazil,Sweet
bourbon,washed,guatemala,Nutty
caturra,washed,colombia,Stone Fruit
various,washed,tanzania,Stone Fruit
74110,washed,ethiopia,Floral
bourbon,natural,rwanda,Other Fruit
bourbon,washed,rwanda,Other Fruit
typica,washed,mexico,Other Fruit
colombia,washed,colombia,Brown Sugar
bourbon,washed,guatemala,Stone Fruit
caturra,washed,colombia,Floral
heirloom,washed,ethiopia,Citrus Fruit
catuai,washed,guatemala,Nutty
typica,washed,peru,Cocoa
bourbon,natural,brazil,Nutty
catuai,washed,panama,Other Fruit
bourbon,washed,guatemala,Stone Fruit
heirloom,honey,honduras,Brown Sugar
heirloom,washed,ethiopia,Citrus Fruit
bourbon,washed,mexico,Sweet
bourbon,washed,mexico,Berry Fruit
74110,natural,ethiopia,Berry Fruit
various,washed,brazil,Brown Sugar
caturra,washed,colombia,Floral
caturra,honey,costa rica,Stone Fruit
